ID,As a/an,I want to…,so that..,Notes ,Priority,Estimation,Status
a,new user,create a personal login with username and password,I can play my game with own account and others can play the same game on my phone with their own personal account,,2,3,
b,user,start a new Trini Hangman game ,,Select Level and Category,1,1,
c,game designer,have a feature which describes how to play the game,,How to feature,2,1,
d,game designer,provide information about the game and the author,,Information feature ,1,1,
e,game designer,create a rating feature to allow users to rate the game ,,Perhaps place this feature after the user plays the game,2,3,
f,player ,hear local music playing in the background of the game ,,"Can use Soca, Calypso etc",5,3,
g,player ,have the option of hints for each word or phrase to be spelt.,,,4,3,
h,player ,see a congratulations message when I spell the word correctly. ,,,1,1,
i,player ,see the correct word presented on the screen after being hanged,,,1,1,
j,player ,move to higher levels of the Trini Hangman game ,,,2,5,
k,player ,gain points for each word spelt correctly ,,,4,1,
l,user ,have the option to save or continue game as desired,,,1,5,
m,user ,exit the game at any time when desired ,,,1,3,
n,game designer,place familiar or popular images of Trinidad and Tobago as the background for the screen for that particular category ,it adds to the local feel of the game and overall make it more enjoyable,"So for example if the category is music, the background can be an image of a steel pan",3,5,
o,player ,be able to differentiate the letters that I have selected already from the ones that I am yet to select from,,,1,5,
p,game designer,Create the option for the user to turn off the music when playing the game,,,1,5,
